story_slug,row,images,reason,score,title,field7,slug,field5,field6
vintage,2,"IMG_20190122_0009 (10)_Original.jpeg,IMG_20190122_0009 (25)_Original.jpeg","These three feature people in candid or natural moments, with warm emotional tones and outdoor lighting.",8.8,,,,,
vintage,8,"IMG_20190122_0009 (40)_Original.jpeg,IMG_20190122_0009 (32)_Original (1).jpeg",Tall images with human emotion and rhythm: a dancer and a contemplative window gaze.,8.6,,,,,
vintage,3,"IMG_20190122_0009 (13)_Original.jpeg,IMG_20190122_0009 (21)_Original.jpeg",Historic Roman ruins paired with intimate indoor moments; a nice mix of architecture and human activity.,8.6,,,,,
vintage,4,"IMG_20190122_0009 (18)_Original.jpeg,IMG_20190122_0009 (28)_Original (1).jpeg,IMG_20190122_0009 (29)_Original.jpeg","All three are intimate, indoor scenes with strong framing and narrative: chess, childhood, and still life.",8.3,,,,,
vintage,5,IMG_20190122_0009 (80)_Original.jpeg,Stunning wide landscape of architecture and mountains makes a perfect intro image.,9.3,,,,,
vintage,6,"IMG_20190122_0009 (32)_Original.jpeg,IMG_20190122_0009 (76)_Original.jpeg",A mix of wide landscapes and intense scenes with strong horizontal lines and visual depth.,9.1,,,,,
birds,1,_DSC9680.jpeg,"This ultra-wide panoramic image stands on its own as a highlight, showcasing a bird in a sweeping landscape. Its dramatic 2:1 aspect ratio and cinematic feel make it a focal piece that draws the viewer in, so it’s presented solo for maximum impact.",9,,,,,
birds,2,"_DSC4707_Original.jpeg, _DSC4697_Original.jpeg,_DSC4692_Original.jpeg","A trio of small bird portraits with soft green backgrounds creates a harmonious row. All three images feature a similar subject (perched songbirds) and blurred foliage behind them, giving the row a consistent, gentle color palette. The compositions complement each other, and slight differences in the birds’ postures add interest without breaking visual unity.",8,,,,,
birds,3,"_DSC4686_Original.jpeg, _DSC4716_Original.jpeg","These three images continue the theme of birds among greenery. Each photo has a bird surrounded by natural habitat, and the tones and lighting are consistent. Placing them together maintains a cohesive look – the row feels balanced as each image has a similar scale and subject placement, which creates a pleasant rhythm across the trio.",8,,,,,
birds,4,"DSC_4580_Original.jpeg, DSC_4581_Original.jpeg","All three photos in this row share warm, golden lighting and a subject perched in a natural setting. The color tones and background bokeh are very similar, giving the row a unified feel. The birds are captured from slightly different angles, which provides variety, but their environment and complementary colors tie them together seamlessly.",8,,,,,
birds,5,"_DSC6440_Original.jpeg, _DSC6487_Original.jpeg, _DSC6496_Original.jpeg","This row groups images with darker, contrasty backgrounds and birds poised on the left side. The compositions echo one another – each bird is set against a smooth, out-of-focus backdrop, whether in deep greens or shadows, which makes their form pop. Together, they create a dramatic and cohesive visual line, with a consistent mood across the row.",7,,,,,
birds,6,"_DSC3867-2_Original.jpeg, _DSC9420.jpeg, _DSC9422_Original.jpeg","Each image here features a bird with plenty of negative space and sky tones around it, giving an airy, open feel to the row. The soft blues and light neutral hues flow from one image to the next. Visually, this row feels light and balanced: the birds are positioned at complementary spots (one towards left, others more centered/right), creating a gentle visual zigzag that guides the eye across all three.",9,,,,,
birds,7,"DSC02202.jpeg, IMG_20180305_081151_Original.jpeg","All three are intimate vertical portraits of birds. By placing these close-ups together, the row emphasizes fine detail – you can almost see the texture of feathers in each. They share a shallow depth of field and neutral backgrounds, which keep the focus on the birds’ forms. The cohesion in orientation and subject scale makes this row feel like a curated set of bird portraits, engaging the viewer with direct eye contact and clarity.",9,,,,,
birds,8,"DSC_4099_Original.jpeg,DSC03714.jpeg","This row is unified by an earthy, woodland palette. Each photo showcases a bird nestled in a textured environment of branches or foliage. The green and brown tones repeat across the images, creating an organic flow. Visually, the row feels balanced: the busy backgrounds complement one another rather than clash, and the birds each occupy a comfortable spot in their frame, giving a sense of continuity from one image to the next.",7,,,,,
birds,9,"_DSC4006_Original.jpeg, DSC04278.jpeg","This row is unified by an earthy, woodland palette. Each photo showcases a bird nestled in a textured environment of branches or foliage. The green and brown tones repeat across the images, creating an organic flow. Visually, the row feels balanced: the busy backgrounds complement one another rather than clash, and the birds each occupy a comfortable spot in their frame, giving a sense of continuity from one image to the next.",8ments while maintaining a consistent,,,,,
birds,10,"DSC02529.jpeg, IMG_20200527_181153.jpeg","A balanced mix of scenes gives this row a dynamic yet cohesive character. The first image offers soft, warm light and a tangle of branches, the second has a more open scene (perhaps near water or ground), and the third expands into a wider dusk landscape. Despite their differences, each photo has a gentle color harmony – muted greens and blues that complement each other. The contrast in perspectives (close, medium, wide) actually works together here, as the row tells a broader story of birds in varied environments while maintaining a consistent, tranquil mood.",, tranquil mood.,8ments while maintaining a consistent,"tranquil mood.""""",8,
birds,11,DSC04395.jpeg,,,,,,,
winter,6,IMG_1415.jpeg,"The snow-covered grate is abstract, geometric, and minimalistic—best displayed alone in a short row.",7,,,,,
